feature_set,n_features,best_params,best_cv_score,test_accuracy,confusion_matrix,y_test,y_pred
mav,10,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.6547619047619048,0.6111111111111112,"[[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 3]]","[9.0, 5.0, 2.0, 2.0, 5.0, 9.0, 10.0, 3.0, 7.0, 7.0, 12.0, 10.0, 9.0, 12.0, 5.0, 1.0, 11.0, 10.0, 2.0, 3.0, 9.0, 4.0, 3.0, 7.0, 12.0, 6.0, 7.0, 6.0, 12.0, 7.0, 10.0, 2.0, 12.0, 1.0, 12.0, 4.0]","[6.0, 5.0, 6.0, 2.0, 1.0, 8.0, 10.0, 3.0, 7.0, 7.0, 6.0, 10.0, 11.0, 12.0, 5.0, 1.0, 11.0, 10.0, 2.0, 8.0, 9.0, 4.0, 3.0, 7.0, 12.0, 3.0, 7.0, 5.0, 12.0, 7.0, 8.0, 2.0, 8.0, 5.0, 8.0, 1.0]"
std,10,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.7738095238095237,0.8333333333333334,"[[2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]]","[9.0, 7.0, 1.0, 2.0, 7.0, 10.0, 7.0, 7.0, 3.0, 5.0, 7.0, 8.0, 8.0, 6.0, 8.0, 5.0, 10.0, 1.0, 6.0, 9.0, 10.0, 5.0, 5.0, 6.0, 8.0, 12.0, 1.0, 9.0, 2.0, 3.0, 11.0, 12.0, 11.0, 4.0, 6.0, 3.0]","[12.0, 7.0, 4.0, 2.0, 7.0, 10.0, 7.0, 7.0, 3.0, 5.0, 7.0, 8.0, 8.0, 6.0, 8.0, 4.0, 11.0, 1.0, 6.0, 9.0, 10.0, 5.0, 5.0, 6.0, 12.0, 12.0, 1.0, 9.0, 2.0, 3.0, 11.0, 12.0, 11.0, 4.0, 12.0, 3.0]"
maxav,10,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 200, 'subsample': 0.8}",0.6547619047619048,0.8333333333333334,"[[2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3]]","[8.0, 11.0, 2.0, 8.0, 10.0, 11.0, 9.0, 4.0, 8.0, 8.0, 1.0, 11.0, 1.0, 12.0, 4.0, 9.0, 7.0, 9.0, 4.0, 12.0, 7.0, 6.0, 6.0, 7.0, 11.0, 7.0, 5.0, 3.0, 10.0, 1.0, 3.0, 2.0, 10.0, 12.0, 9.0, 12.0]","[8.0, 11.0, 2.0, 11.0, 10.0, 11.0, 9.0, 5.0, 8.0, 8.0, 4.0, 11.0, 1.0, 12.0, 4.0, 12.0, 7.0, 9.0, 4.0, 12.0, 7.0, 6.0, 6.0, 7.0, 11.0, 7.0, 5.0, 3.0, 10.0, 1.0, 3.0, 4.0, 10.0, 9.0, 9.0, 12.0]"
rms,10,"{'learning_rate': 0.2, 'max_depth': 1, 'n_estimators': 200, 'subsample': 0.8}",0.8095238095238094,0.8333333333333334,"[[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]]","[7.0, 8.0, 11.0, 6.0, 1.0, 5.0, 8.0, 2.0, 10.0, 5.0, 2.0, 8.0, 3.0, 10.0, 3.0, 12.0, 2.0, 8.0, 10.0, 5.0, 3.0, 4.0, 1.0, 6.0, 7.0, 4.0, 6.0, 8.0, 1.0, 3.0, 6.0, 11.0, 9.0, 2.0, 12.0, 7.0]","[7.0, 8.0, 9.0, 6.0, 1.0, 5.0, 8.0, 2.0, 10.0, 5.0, 2.0, 8.0, 3.0, 10.0, 8.0, 12.0, 2.0, 8.0, 11.0, 6.0, 3.0, 4.0, 1.0, 6.0, 12.0, 4.0, 6.0, 12.0, 1.0, 3.0, 6.0, 11.0, 9.0, 2.0, 12.0, 7.0]"
mav+std,20,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 200, 'subsample': 0.8}",0.6904761904761906,0.8055555555555556,"[[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]]","[4.0, 3.0, 3.0, 6.0, 11.0, 9.0, 3.0, 1.0, 12.0, 10.0, 8.0, 12.0, 6.0, 9.0, 8.0, 5.0, 9.0, 5.0, 8.0, 7.0, 1.0, 2.0, 10.0, 12.0, 10.0, 8.0, 6.0, 3.0, 12.0, 6.0, 10.0, 2.0, 11.0, 11.0, 6.0, 7.0]","[4.0, 3.0, 6.0, 6.0, 11.0, 9.0, 3.0, 1.0, 12.0, 10.0, 8.0, 12.0, 6.0, 9.0, 3.0, 5.0, 9.0, 5.0, 8.0, 7.0, 4.0, 4.0, 10.0, 12.0, 11.0, 3.0, 6.0, 3.0, 12.0, 6.0, 10.0, 2.0, 11.0, 6.0, 6.0, 7.0]"
mav+maxav,20,"{'learning_rate': 0.2, 'max_depth': 1, 'n_estimators': 200, 'subsample': 0.8}",0.6904761904761904,0.8611111111111112,"[[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]]","[12.0, 4.0, 1.0, 11.0, 9.0, 1.0, 11.0, 4.0, 5.0, 2.0, 11.0, 8.0, 6.0, 11.0, 10.0, 6.0, 3.0, 7.0, 5.0, 7.0, 9.0, 12.0, 12.0, 9.0, 3.0, 6.0, 8.0, 11.0, 2.0, 6.0, 2.0, 9.0, 5.0, 11.0, 10.0, 5.0]","[12.0, 4.0, 1.0, 6.0, 9.0, 1.0, 6.0, 4.0, 5.0, 2.0, 6.0, 8.0, 6.0, 8.0, 10.0, 6.0, 3.0, 7.0, 4.0, 7.0, 9.0, 12.0, 12.0, 9.0, 3.0, 6.0, 8.0, 11.0, 2.0, 6.0, 2.0, 9.0, 5.0, 11.0, 10.0, 5.0]"
mav+rms,20,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.7738095238095238,0.8055555555555556,"[[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]]","[2.0, 8.0, 12.0, 11.0, 12.0, 10.0, 10.0, 9.0, 1.0, 9.0, 3.0, 8.0, 9.0, 9.0, 11.0, 10.0, 7.0, 3.0, 6.0, 9.0, 6.0, 5.0, 5.0, 4.0, 1.0, 12.0, 4.0, 11.0, 4.0, 2.0, 2.0, 7.0, 4.0, 7.0, 9.0, 2.0]","[2.0, 8.0, 12.0, 11.0, 12.0, 10.0, 10.0, 9.0, 1.0, 11.0, 5.0, 8.0, 12.0, 9.0, 11.0, 10.0, 7.0, 6.0, 5.0, 9.0, 6.0, 5.0, 5.0, 4.0, 1.0, 12.0, 4.0, 11.0, 4.0, 2.0, 2.0, 9.0, 11.0, 7.0, 9.0, 2.0]"
std+maxav,20,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.7142857142857144,0.75,"[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2]]","[9.0, 1.0, 8.0, 7.0, 6.0, 6.0, 5.0, 5.0, 9.0, 2.0, 4.0, 8.0, 12.0, 9.0, 8.0, 3.0, 3.0, 9.0, 11.0, 3.0, 6.0, 4.0, 5.0, 7.0, 4.0, 6.0, 12.0, 7.0, 2.0, 9.0, 3.0, 7.0, 12.0, 10.0, 3.0, 4.0]","[11.0, 1.0, 8.0, 7.0, 6.0, 6.0, 5.0, 4.0, 12.0, 2.0, 4.0, 8.0, 12.0, 9.0, 8.0, 3.0, 3.0, 12.0, 11.0, 3.0, 6.0, 4.0, 5.0, 12.0, 4.0, 6.0, 12.0, 7.0, 2.0, 12.0, 5.0, 7.0, 11.0, 10.0, 6.0, 4.0]"
std+rms,20,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.7738095238095238,0.7222222222222222,"[[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3]]","[10.0, 10.0, 11.0, 12.0, 8.0, 2.0, 3.0, 7.0, 12.0, 10.0, 3.0, 4.0, 5.0, 4.0, 1.0, 5.0, 1.0, 11.0, 5.0, 3.0, 3.0, 7.0, 8.0, 2.0, 6.0, 5.0, 4.0, 6.0, 3.0, 5.0, 8.0, 1.0, 12.0, 12.0, 8.0, 12.0]","[7.0, 10.0, 11.0, 12.0, 3.0, 2.0, 5.0, 7.0, 12.0, 10.0, 3.0, 4.0, 5.0, 4.0, 1.0, 5.0, 1.0, 11.0, 1.0, 5.0, 3.0, 7.0, 8.0, 2.0, 6.0, 4.0, 4.0, 6.0, 1.0, 5.0, 10.0, 1.0, 9.0, 9.0, 8.0, 12.0]"
maxav+rms,20,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 200, 'subsample': 0.8}",0.7738095238095238,0.75,"[[2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]]","[10.0, 10.0, 7.0, 7.0, 9.0, 1.0, 8.0, 11.0, 11.0, 2.0, 4.0, 10.0, 4.0, 12.0, 9.0, 2.0, 3.0, 8.0, 1.0, 12.0, 9.0, 4.0, 5.0, 4.0, 10.0, 5.0, 9.0, 7.0, 5.0, 5.0, 9.0, 5.0, 12.0, 11.0, 1.0, 6.0]","[10.0, 10.0, 7.0, 7.0, 9.0, 1.0, 11.0, 11.0, 11.0, 2.0, 4.0, 10.0, 4.0, 12.0, 12.0, 4.0, 3.0, 8.0, 1.0, 12.0, 9.0, 4.0, 6.0, 4.0, 6.0, 4.0, 9.0, 12.0, 12.0, 5.0, 9.0, 5.0, 12.0, 11.0, 4.0, 6.0]"
