feature_set,n_features,best_cv_score,test_accuracy
mav,10,0.5357142857142857,0.8333333333333334
std,10,0.5952380952380952,0.6944444444444444
maxav,10,0.5357142857142857,0.6944444444444444
rms,10,0.5476190476190476,0.75
wl,10,0.6547619047619048,0.4444444444444444
ssc,10,0.46428571428571425,0.4444444444444444
zc,10,0.5357142857142857,0.4722222222222222
wamp,10,0.5357142857142857,0.75
mean_freq,10,0.3333333333333333,0.4722222222222222
median_freq,10,0.25,0.3333333333333333
mav+std,20,0.630952380952381,0.8055555555555556
mav+maxav,20,0.6190476190476191,0.75
mav+rms,20,0.5952380952380952,0.7222222222222222
mav+wl,20,0.6428571428571429,0.6666666666666666
mav+ssc,20,0.5833333333333334,0.6944444444444444
mav+zc,20,0.6428571428571429,0.8055555555555556
mav+wamp,20,0.6190476190476191,0.7222222222222222
mav+mean_freq,20,0.5,0.5833333333333334
mav+median_freq,20,0.5714285714285715,0.7777777777777778
std+maxav,20,0.6309523809523809,0.7222222222222222
std+rms,20,0.6190476190476191,0.7777777777777778
std+wl,20,0.6666666666666666,0.75
std+ssc,20,0.5238095238095238,0.75
std+zc,20,0.6071428571428571,0.75
std+wamp,20,0.5833333333333334,0.7777777777777778
std+mean_freq,20,0.5833333333333334,0.6666666666666666
std+median_freq,20,0.5595238095238096,0.7777777777777778
maxav+rms,20,0.5476190476190476,0.7222222222222222
maxav+wl,20,0.6666666666666666,0.6388888888888888
maxav+ssc,20,0.5595238095238096,0.6666666666666666
maxav+zc,20,0.5476190476190476,0.75
maxav+wamp,20,0.5833333333333334,0.75
maxav+mean_freq,20,0.5833333333333333,0.6388888888888888
maxav+median_freq,20,0.5595238095238094,0.6666666666666666
rms+wl,20,0.6190476190476191,0.6666666666666666
rms+ssc,20,0.5357142857142857,0.6388888888888888
rms+zc,20,0.5238095238095237,0.8055555555555556
rms+wamp,20,0.6309523809523809,0.8333333333333334
rms+mean_freq,20,0.5476190476190476,0.6666666666666666
rms+median_freq,20,0.5952380952380952,0.75
wl+ssc,20,0.619047619047619,0.5
wl+zc,20,0.619047619047619,0.5833333333333334
wl+wamp,20,0.6309523809523809,0.5
wl+mean_freq,20,0.6071428571428572,0.5
wl+median_freq,20,0.6666666666666666,0.6111111111111112
ssc+zc,20,0.4166666666666667,0.5
ssc+wamp,20,0.6190476190476191,0.5833333333333334
ssc+mean_freq,20,0.36904761904761907,0.4722222222222222
ssc+median_freq,20,0.36904761904761907,0.5
zc+wamp,20,0.5952380952380952,0.6666666666666666
zc+mean_freq,20,0.4166666666666667,0.6944444444444444
zc+median_freq,20,0.46428571428571425,0.4722222222222222
wamp+mean_freq,20,0.5714285714285714,0.6388888888888888
wamp+median_freq,20,0.5476190476190476,0.7222222222222222
mean_freq+median_freq,20,0.2976190476190476,0.6111111111111112
mav+std+maxav,30,0.6785714285714285,0.8333333333333334
mav+std+rms,30,0.6547619047619048,0.8055555555555556
mav+std+wl,30,0.6666666666666666,0.7777777777777778
mav+std+ssc,30,0.6071428571428571,0.7777777777777778
mav+std+zc,30,0.6071428571428571,0.8611111111111112
mav+std+wamp,30,0.6071428571428572,0.7777777777777778
mav+std+mean_freq,30,0.6071428571428571,0.7777777777777778
mav+std+median_freq,30,0.5833333333333334,0.8055555555555556
