feature_set,n_features,best_params,best_cv_score,test_accuracy
mav,10,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.8888888888888888
std,10,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.9722222222222222
maxav,10,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095238,0.8611111111111112
rms,10,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428572,0.8611111111111112
wl,10,"{'n_neighbors': 3, 'weights': 'uniform'}",0.8095238095238096,0.6111111111111112
ssc,10,"{'n_neighbors': 5, 'weights': 'distance'}",0.5595238095238095,0.4444444444444444
zc,10,"{'n_neighbors': 3, 'weights': 'distance'}",0.5357142857142857,0.7222222222222222
wamp,10,"{'n_neighbors': 3, 'weights': 'distance'}",0.6904761904761906,0.6944444444444444
mean_freq,10,"{'n_neighbors': 9, 'weights': 'distance'}",0.5,0.4444444444444444
median_freq,10,"{'n_neighbors': 1, 'weights': 'uniform'}",0.30952380952380953,0.4166666666666667
mav+std,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.7777777777777778
mav+maxav,20,"{'n_neighbors': 5, 'weights': 'distance'}",0.8095238095238096,0.8333333333333334
mav+rms,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428571,0.8888888888888888
mav+wl,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.8055555555555556
mav+ssc,20,"{'n_neighbors': 3, 'weights': 'distance'}",0.8928571428571429,0.6666666666666666
mav+zc,20,"{'n_neighbors': 3, 'weights': 'distance'}",0.7976190476190476,0.5555555555555556
mav+wamp,20,"{'n_neighbors': 7, 'weights': 'distance'}",0.7976190476190476,0.7222222222222222
mav+mean_freq,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8928571428571428,0.6944444444444444
mav+median_freq,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7380952380952381,0.9166666666666666
std+maxav,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.8611111111111112
std+rms,20,"{'n_neighbors': 3, 'weights': 'uniform'}",0.9404761904761906,0.7777777777777778
std+wl,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9166666666666666,0.9166666666666666
std+ssc,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.8055555555555556
std+zc,20,"{'n_neighbors': 3, 'weights': 'distance'}",0.8214285714285715,0.7777777777777778
std+wamp,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.7777777777777778
std+mean_freq,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.6944444444444444
std+median_freq,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7380952380952381,0.9166666666666666
maxav+rms,20,"{'n_neighbors': 3, 'weights': 'distance'}",0.8809523809523809,0.8333333333333334
maxav+wl,20,"{'n_neighbors': 3, 'weights': 'distance'}",0.8214285714285715,0.8611111111111112
maxav+ssc,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7380952380952381,0.7777777777777778
maxav+zc,20,"{'n_neighbors': 3, 'weights': 'distance'}",0.7619047619047619,0.7777777777777778
maxav+wamp,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428572,0.8055555555555556
maxav+mean_freq,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.6666666666666666
maxav+median_freq,20,"{'n_neighbors': 3, 'weights': 'distance'}",0.7976190476190476,0.6111111111111112
rms+wl,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8928571428571429,0.8611111111111112
rms+ssc,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.75,0.8055555555555556
rms+zc,20,"{'n_neighbors': 5, 'weights': 'distance'}",0.7857142857142856,0.6666666666666666
rms+wamp,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8928571428571429,0.7777777777777778
rms+mean_freq,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.9166666666666666
rms+median_freq,20,"{'n_neighbors': 7, 'weights': 'distance'}",0.7023809523809524,0.7777777777777778
wl+ssc,20,"{'n_neighbors': 3, 'weights': 'distance'}",0.7619047619047619,0.7777777777777778
wl+zc,20,"{'n_neighbors': 5, 'weights': 'distance'}",0.8333333333333334,0.7222222222222222
wl+wamp,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095237,0.8611111111111112
wl+mean_freq,20,"{'n_neighbors': 7, 'weights': 'distance'}",0.7619047619047619,0.7777777777777778
wl+median_freq,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8095238095238094,0.8611111111111112
ssc+zc,20,"{'n_neighbors': 3, 'weights': 'distance'}",0.5952380952380952,0.5555555555555556
ssc+wamp,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7142857142857143,0.8055555555555556
ssc+mean_freq,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.5476190476190476,0.7222222222222222
ssc+median_freq,20,"{'n_neighbors': 5, 'weights': 'distance'}",0.5476190476190476,0.4722222222222222
zc+wamp,20,"{'n_neighbors': 5, 'weights': 'distance'}",0.7380952380952381,0.7222222222222222
zc+mean_freq,20,"{'n_neighbors': 5, 'weights': 'uniform'}",0.6190476190476191,0.5833333333333334
zc+median_freq,20,"{'n_neighbors': 7, 'weights': 'distance'}",0.48809523809523814,0.6111111111111112
wamp+mean_freq,20,"{'n_neighbors': 3, 'weights': 'distance'}",0.7738095238095237,0.8333333333333334
wamp+median_freq,20,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7380952380952381,0.5277777777777778
mean_freq+median_freq,20,"{'n_neighbors': 5, 'weights': 'distance'}",0.4523809523809524,0.5833333333333334
mav+std+maxav,30,"{'n_neighbors': 5, 'weights': 'distance'}",0.8571428571428572,0.8888888888888888
mav+std+rms,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9285714285714285,0.8888888888888888
mav+std+wl,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.9444444444444444
mav+std+ssc,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8690476190476191,0.9166666666666666
mav+std+zc,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8571428571428571,0.8611111111111112
mav+std+wamp,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.8888888888888888
mav+std+mean_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.8888888888888888
mav+std+median_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.7777777777777778
mav+maxav+rms,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9166666666666666,0.8333333333333334
mav+maxav+wl,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.9166666666666666
mav+maxav+ssc,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8690476190476191,0.75
mav+maxav+zc,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8452380952380952,0.8611111111111112
mav+maxav+wamp,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.8611111111111112
mav+maxav+mean_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8690476190476191,0.8055555555555556
mav+maxav+median_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8214285714285715,0.7777777777777778
mav+rms+wl,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8333333333333334,0.8611111111111112
mav+rms+ssc,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.9444444444444444
mav+rms+zc,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428572,0.75
mav+rms+wamp,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.8333333333333334
mav+rms+mean_freq,30,"{'n_neighbors': 5, 'weights': 'distance'}",0.8809523809523809,0.8888888888888888
mav+rms+median_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095237,0.8611111111111112
mav+wl+ssc,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095238,0.8055555555555556
mav+wl+zc,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7857142857142856,0.8611111111111112
mav+wl+wamp,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.9166666666666666
mav+wl+mean_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.9444444444444444
mav+wl+median_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.75
mav+ssc+zc,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8095238095238096,0.75
mav+ssc+wamp,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.6944444444444444
mav+ssc+mean_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.8333333333333334
mav+ssc+median_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.6428571428571428,0.8611111111111112
mav+zc+wamp,30,"{'n_neighbors': 3, 'weights': 'uniform'}",0.8095238095238096,0.7777777777777778
mav+zc+mean_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.8333333333333334
mav+zc+median_freq,30,"{'n_neighbors': 5, 'weights': 'distance'}",0.7142857142857143,0.8055555555555556
mav+wamp+mean_freq,30,"{'n_neighbors': 7, 'weights': 'distance'}",0.8095238095238096,0.8888888888888888
mav+wamp+median_freq,30,"{'n_neighbors': 5, 'weights': 'distance'}",0.7976190476190476,0.7222222222222222
mav+mean_freq+median_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7857142857142857,0.8055555555555556
std+maxav+rms,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9285714285714285,0.8888888888888888
std+maxav+wl,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.9285714285714287,0.8888888888888888
std+maxav+ssc,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8095238095238096,0.75
std+maxav+zc,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8571428571428571,0.8333333333333334
std+maxav+wamp,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428572,0.8055555555555556
std+maxav+mean_freq,30,"{'n_neighbors': 5, 'weights': 'distance'}",0.7619047619047619,0.8055555555555556
std+maxav+median_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.6666666666666666
std+rms+wl,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9404761904761906,0.9722222222222222
std+rms+ssc,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.8055555555555556
std+rms+zc,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8333333333333334,0.9166666666666666
std+rms+wamp,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8809523809523809,0.9444444444444444
std+rms+mean_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8095238095238094,0.9722222222222222
std+rms+median_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8214285714285715,0.8333333333333334
std+wl+ssc,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8809523809523809,0.8611111111111112
std+wl+zc,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.8333333333333334
std+wl+wamp,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.9166666666666666
std+wl+mean_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8928571428571428,0.8888888888888888
std+wl+median_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8571428571428571,0.8611111111111112
std+ssc+zc,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7380952380952381,0.8333333333333334
std+ssc+wamp,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.8055555555555556
std+ssc+mean_freq,30,"{'n_neighbors': 5, 'weights': 'distance'}",0.7857142857142856,0.75
std+ssc+median_freq,30,"{'n_neighbors': 5, 'weights': 'distance'}",0.8214285714285715,0.6666666666666666
std+zc+wamp,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.8055555555555556
std+zc+mean_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8333333333333334,0.75
std+zc+median_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095238,0.7222222222222222
std+wamp+mean_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.8611111111111112
std+wamp+median_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095237,0.8333333333333334
std+mean_freq+median_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.7222222222222222
maxav+rms+wl,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.8888888888888888
maxav+rms+ssc,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.9166666666666666
maxav+rms+zc,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8452380952380952,0.7777777777777778
maxav+rms+wamp,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428571,0.8333333333333334
maxav+rms+mean_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8452380952380952,0.8333333333333334
maxav+rms+median_freq,30,"{'n_neighbors': 7, 'weights': 'distance'}",0.8214285714285715,0.7222222222222222
