n_train,accuracy,test_subject
1,0.08333333333333333,1
2,0.13333333333333333,1
3,0.3333333333333333,1
4,0.30833333333333335,1
5,0.25833333333333336,1
6,0.325,1
7,0.35833333333333334,1
8,0.38333333333333336,1
9,0.35833333333333334,1
10,0.36666666666666664,1
11,0.375,1
12,0.4666666666666667,1
13,0.48333333333333334,1
14,0.425,1
15,0.4583333333333333,1
16,0.44166666666666665,1
17,0.4083333333333333,1
18,0.4083333333333333,1
19,0.4083333333333333,1
20,0.375,1
21,0.39166666666666666,1
22,0.36666666666666664,1
23,0.35833333333333334,1
24,0.35833333333333334,1
25,0.4,1
26,0.375,1
1,0.23333333333333334,3
2,0.16666666666666666,3
3,0.19166666666666668,3
4,0.25833333333333336,3
5,0.30833333333333335,3
6,0.35833333333333334,3
7,0.275,3
8,0.25,3
9,0.3333333333333333,3
10,0.30833333333333335,3
11,0.325,3
12,0.325,3
13,0.325,3
14,0.275,3
15,0.35833333333333334,3
16,0.4083333333333333,3
17,0.4083333333333333,3
18,0.375,3
19,0.425,3
20,0.4166666666666667,3
21,0.44166666666666665,3
22,0.49166666666666664,3
23,0.49166666666666664,3
24,0.475,3
25,0.43333333333333335,3
26,0.49166666666666664,3
1,0.125,6
2,0.125,6
3,0.11666666666666667,6
4,0.10833333333333334,6
5,0.325,6
6,0.31666666666666665,6
7,0.275,6
8,0.30833333333333335,6
9,0.25833333333333336,6
10,0.3,6
11,0.26666666666666666,6
12,0.24166666666666667,6
13,0.26666666666666666,6
14,0.2833333333333333,6
15,0.3416666666666667,6
16,0.35833333333333334,6
17,0.3416666666666667,6
18,0.3333333333333333,6
19,0.4,6
20,0.4,6
21,0.4083333333333333,6
22,0.4,6
23,0.3333333333333333,6
24,0.35833333333333334,6
25,0.36666666666666664,6
26,0.35,6
1,0.15,9
2,0.18333333333333332,9
3,0.125,9
4,0.1,9
5,0.125,9
6,0.19166666666666668,9
7,0.24166666666666667,9
8,0.26666666666666666,9
9,0.24166666666666667,9
10,0.3,9
11,0.25833333333333336,9
12,0.2833333333333333,9
13,0.21666666666666667,9
14,0.24166666666666667,9
15,0.24166666666666667,9
16,0.325,9
17,0.2916666666666667,9
18,0.325,9
19,0.30833333333333335,9
20,0.2833333333333333,9
21,0.2916666666666667,9
22,0.30833333333333335,9
23,0.2833333333333333,9
24,0.23333333333333334,9
25,0.225,9
26,0.25,9
1,0.16666666666666666,12
2,0.15833333333333333,12
3,0.19166666666666668,12
4,0.275,12
5,0.25833333333333336,12
6,0.25833333333333336,12
7,0.2833333333333333,12
8,0.275,12
9,0.2916666666666667,12
10,0.275,12
11,0.31666666666666665,12
12,0.31666666666666665,12
13,0.30833333333333335,12
14,0.275,12
15,0.275,12
16,0.25833333333333336,12
17,0.275,12
18,0.31666666666666665,12
19,0.31666666666666665,12
20,0.3416666666666667,12
21,0.31666666666666665,12
22,0.3333333333333333,12
23,0.3416666666666667,12
24,0.375,12
25,0.325,12
26,0.31666666666666665,12
1,0.1,15
2,0.14166666666666666,15
3,0.18333333333333332,15
4,0.21666666666666667,15
5,0.175,15
6,0.18333333333333332,15
7,0.16666666666666666,15
8,0.25,15
9,0.23333333333333334,15
10,0.26666666666666666,15
11,0.2833333333333333,15
12,0.36666666666666664,15
13,0.39166666666666666,15
14,0.35833333333333334,15
15,0.35,15
16,0.38333333333333336,15
17,0.38333333333333336,15
18,0.39166666666666666,15
19,0.44166666666666665,15
20,0.425,15
21,0.39166666666666666,15
22,0.39166666666666666,15
23,0.38333333333333336,15
24,0.425,15
25,0.4083333333333333,15
26,0.4166666666666667,15
1,0.06666666666666667,18
2,0.16666666666666666,18
3,0.18333333333333332,18
4,0.26666666666666666,18
5,0.2833333333333333,18
6,0.3,18
7,0.225,18
8,0.25833333333333336,18
9,0.18333333333333332,18
10,0.275,18
11,0.26666666666666666,18
12,0.2833333333333333,18
13,0.31666666666666665,18
14,0.38333333333333336,18
15,0.4,18
16,0.4083333333333333,18
17,0.44166666666666665,18
18,0.4583333333333333,18
19,0.45,18
20,0.44166666666666665,18
21,0.4,18
22,0.43333333333333335,18
23,0.48333333333333334,18
24,0.4083333333333333,18
25,0.4166666666666667,18
26,0.36666666666666664,18
1,0.15,21
2,0.10833333333333334,21
3,0.24166666666666667,21
4,0.26666666666666666,21
5,0.16666666666666666,21
6,0.25833333333333336,21
7,0.225,21
8,0.13333333333333333,21
9,0.16666666666666666,21
10,0.14166666666666666,21
11,0.20833333333333334,21
12,0.19166666666666668,21
13,0.25,21
14,0.16666666666666666,21
15,0.20833333333333334,21
16,0.24166666666666667,21
17,0.20833333333333334,21
18,0.24166666666666667,21
19,0.30833333333333335,21
20,0.275,21
21,0.20833333333333334,21
22,0.30833333333333335,21
23,0.38333333333333336,21
24,0.4166666666666667,21
25,0.5083333333333333,21
26,0.5,21
1,0.06666666666666667,24
2,0.06666666666666667,24
3,0.075,24
4,0.11666666666666667,24
5,0.08333333333333333,24
6,0.09166666666666666,24
7,0.11666666666666667,24
8,0.14166666666666666,24
9,0.125,24
10,0.13333333333333333,24
11,0.1,24
12,0.08333333333333333,24
13,0.11666666666666667,24
14,0.21666666666666667,24
15,0.26666666666666666,24
16,0.2,24
17,0.15833333333333333,24
18,0.2,24
19,0.21666666666666667,24
20,0.15,24
21,0.16666666666666666,24
22,0.15,24
23,0.2,24
24,0.23333333333333334,24
25,0.25833333333333336,24
26,0.24166666666666667,24
1,0.016666666666666666,27
2,0.15,27
3,0.058333333333333334,27
4,0.11666666666666667,27
5,0.11666666666666667,27
6,0.15833333333333333,27
7,0.15,27
8,0.18333333333333332,27
9,0.175,27
10,0.20833333333333334,27
11,0.14166666666666666,27
12,0.19166666666666668,27
13,0.24166666666666667,27
14,0.225,27
15,0.225,27
16,0.20833333333333334,27
